12-09-2014 14:47 (05:43) mbastian 2616793503020000 1H|13C DMSO VT=No None
12-09-2014 21:23 (06:30) lsun4    VT=22 None
12-09-2014 21:33 (00:08) lsun4 3500713112010001 1H DMSO VT=60 None
12-10-2014 08:58 (00:12) moneill9 2018973503020000 1H Chloroform-d VT=No None
12-10-2014 11:41 (01:04) hfitch 3411133100010001 1H Chloroform-d VT=No None
12-10-2014 12:53 (00:06) mnakata 2017733503020000 1H Chloroform-d VT=No None
12-10-2014 13:54 (00:29) mgrigalu 2018973503020000 1H|13C Chloroform-d VT=No None
12-10-2014 14:44 (00:27) dpenarom 261492311202000011102 31P Other VT=No None
12-10-2014 15:21 (00:17) prothste 3414043503010001 1H|31P Benzene-d6 VT=No None
12-10-2014 15:46 (00:15) gliu3 3720133503010001 1H Chloroform-d|DMSO VT=No None
12-10-2014 16:11 (00:09) btutkows 2018973503020000 1H Chloroform-d VT=No None
12-10-2014 23:25 (04:20) sseo3 2618263101020000 1H|19F DMSO VT=40 None
12-11-2014 09:12 (01:41) eschutzn 2615093503020000 1H|13C DMSO VT=No None
12-11-2014 11:21 (02:07) esperi 201673 13C DMSO VT=No None
12-11-2014 15:15 (03:04) lsun4 3500713112010001 1H DMSO VT=70 None
12-11-2014 15:20 (00:04) esperi 201673 13C DMSO VT=No None
12-11-2014 15:23 (00:02) khaugen    VT=No None
12-11-2014 18:01 (02:37) esperi 201673 13C DMSO VT=No None
12-11-2014 18:50 (00:19) dronnow 2016383503020000 1H|13C Chloroform-d VT=No None
12-12-2014 09:13 (08:29) gliu3 3720133503010001 1H|13C Chloroform-d VT=No None
12-12-2014 11:02 (01:15) ddicosmo 9999999150 1H|31P DMSO VT=No None
12-12-2014 12:30 (00:17) mbroder1 2018953503020000 1H Chloroform-d VT=No None
12-12-2014 13:16 (00:29) tjarvis    VT=No None
12-12-2014 13:51 (00:08) tjarvis    VT=No None
12-12-2014 15:54 (00:46) sbrown3 2018573503020000 1H Chloroform-d|DMSO VT=No None
12-12-2014 16:45 (00:31) mgrigalu 2018973503020000 1H|13C Chloroform-d VT=No None
12-12-2014 17:35 (00:15) sbrown3 2018573503020000 1H DMSO VT=No None
12-12-2014 23:21 (05:18) lsun4 3500713112010001 1H Chloroform-d VT=20 None
12-13-2014 12:45 (00:24) dpenarom 261492311202000011102 1H|13C|31P Chloroform-d VT=No None
12-13-2014 17:51 (03:30) sseo3 2618263101020000 1H|19F DMSO VT=60 None
12-14-2014 17:09 (00:00) cchang5 2016383503020000 1H Chloroform-d VT=No None
12-15-2014 07:41  jpontius    VT=No Service
12-15-2014 09:21 (00:17) jeberle 3406993503010001 1H Chloroform-d|Benzene-d6 VT=No None
12-15-2014 10:58 (00:28) eschutzn 2615093503020000 1H|13C DMSO VT=No None
12-15-2014 12:36 (01:35) ddicosmo 9999999150 1H|31P DMSO VT=No None
12-15-2014 13:18 (00:23) abastian 2022263503020000 1H|13C Chloroform-d|DMSO VT=No None
12-15-2014 13:38 (00:05) gliu3 3720133503010001 1H Other VT=No None
12-15-2014 15:27 (00:30) abastian 2022263503020000 1H|13C DMSO VT=No None
12-15-2014 16:01 (00:30) dpenarom 261492311202000011102 1H Chloroform-d|DMSO VT=No None
12-15-2014 16:02 (00:00) dpenarom 261492311202000011102 1H Chloroform-d VT=No None
12-16-2014 07:53 (10:52) bcarbain 2615093503020000 13C DMSO VT=No None
12-16-2014 09:26 (00:13) jpontius    VT=No N2 FILL
12-16-2014 10:16 (00:47) esperi 201673 13C DMSO VT=No None
12-16-2014 17:04 (02:51) sseo3  2618263101020000 1H Chloroform-d|DMSO VT=30 None
12-16-2014 22:28 (00:26) xcao 3414033503010001 1H DMSO VT=No None
12-16-2014 23:24 (00:09) xcao 3414033503010001 1H Chloroform-d VT=No None
12-17-2014 09:08 (09:35) gliu3 3720133503010001 1H|13C Chloroform-d VT=No None
12-17-2014 09:23 (00:10) xcao 3414033503010001 1H DMSO VT=No None
12-17-2014 10:48 (00:24) dpenarom 261492311202000011102 1H Chloroform-d VT=No None
12-17-2014 12:05 (01:01) ddicosmo 9999999150 1H|31P DMSO VT=No None
12-17-2014 13:22 (00:14) dbabbini 3414043503010001 1H|31P Benzene-d6 VT=No None
12-17-2014 13:42 (00:06) rtiwari 2016593503020000 1H Chloroform-d VT=No None
12-17-2014 14:31 (00:11) krodrig3 2018953503020000 1H Chloroform-d VT=No None
12-17-2014 14:45 (00:07) cchang5 2016383503020000 1H Chloroform-d VT=No None
12-17-2014 15:41 (00:09) tjarvis    VT=No None
12-17-2014 17:58 (00:08) dpenarom 261492311202000011102 1H Chloroform-d VT=No None
12-17-2014 20:40 (02:40) lsun4 3500713112010001 1H Chloroform-d VT=30 None
12-17-2014 23:26 (00:00) sseo3 2618263101020000 1H DMSO VT=30 None
12-18-2014 12:13 (00:27) rtiwari 2016593503020000 1H Chloroform-d VT=No None
12-18-2014 16:58 (03:56) dbabbini 3414043503010001 1H|13C|31P Chloroform-d|Benzene-d6 VT=No None
12-18-2014 19:43 (02:43) lsun4 3500713112010001 1H DMSO VT=40 None
12-19-2014 10:00 (00:11) mmalabut 2018573503020000 1H Benzene-d6 VT=No None
12-19-2014 10:40 (00:10) gkline 3414353101010001 1H DMSO VT=No None
12-19-2014 13:15 (00:13) dbabbini 3414043503010001 1H|31P Benzene-d6 VT=No None
12-19-2014 13:36 (00:05) mnakata 2017733503020000 1H Chloroform-d VT=No None
12-19-2014 16:46 (00:34) gliu3 3720133503010001 1H Chloroform-d VT=No None
12-19-2014 20:37 (00:05) cchang5 2016383503020000   VT=No None
