Date,Inst. Time,User,Account,Nucleus,Solvent,VT,Comment
,,,,,,,
10-08-2014 14:29,(00:11),alepore,2018953503020000,1H,Chloroform-d,No,None
10-08-2014 14:46,(00:16),cchang5,2016383503020000,1H|13C,Chloroform-d,No,None
10-08-2014 15:00,(00:13),pcui,341404,1H|31P,Benzene-d6,No,None
10-08-2014 15:50,(00:13),dbabbini,3414043503010001,1H|31P,Benzene-d6,No,None
10-08-2014 15:55,(00:04),cchang5,2016383503020000,1H,Chloroform-d,No,None
10-08-2014 16:10,(00:10),cmeyer7,2018953503020000,1H,Other,No,None
10-08-2014 16:23,(00:06),dlee17,3414043503072223,1H,Benzene-d6,No,None
10-08-2014 16:37,(00:07),prothste,3414043503010001,1H|31P,Benzene-d6,No,None
10-08-2014 16:50,(00:04),pcui,3414043503010001,1H,Benzene-d6,No,None
10-08-2014 17:43,(00:44),dbabbini,3414043503010001,1H|13C|31P,Chloroform-d,No,None
10-08-2014 18:13,(00:13),jmeloche,2018953503020000,1H,Chloroform-d,No,None
10-08-2014 18:18,(00:03),pcui,3414043503010001,1H,Benzene-d6,No,None
10-08-2014 19:00,(00:12),scarosso,2016593503020000,1H,D2O,No,None
10-08-2014 20:16,(00:20),xcao,,1H,Chloroform-d,No,None
10-08-2014 20:36,(00:19),yshi3,,,,No,None
10-09-2014 08:25,(11:47),rgraff,3414033503010001,1H,Other,No,None
10-09-2014 08:47,(00:17),lgray1,2019423503020000,1H,Chloroform-d,No,None
10-09-2014 09:03,(00:04),pcui,3414043503010001,,,No,None
10-09-2014 09:20,(00:06),svilanov,3414043503010001,,,No,None
10-09-2014 09:24,(00:02),jpontius,,,,No,None
10-09-2014 09:28,(00:02),jpontius,,1H,Chloroform-d,No,None
10-09-2014 09:42,(00:13),btutkows,2018973503020000,1H|13C,Chloroform-d,No,None
10-09-2014 10:03,(00:18),jkessle2,3414043503010001,1H|31P,Benzene-d6,No,None
